Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,12412311,20779957,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837743
"Population, total",SP.POP.TOTL,Algeria,DZA,25758872,31042238,36661438,37383899,38140135,38923688,39728020,40551398,41389174,42228415,43053054,43851043
"Population, total",SP.POP.TOTL,American Samoa,ASM,47351,57816,55755,55669,55717,55791,55806,55739,55617,55461,55312,55197
"Population, total",SP.POP.TOTL,Andorra,AND,54508,65390,83748,82427,80770,79213,77993,77295,76997,77008,77146,77265
"Population, total",SP.POP.TOTL,Angola,AGO,11848385,16395477,24220660,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,62533,76007,89250,90407,91510,92562,93571,94520,95425,96282,97115,97928
"Population, total",SP.POP.TOTL,Argentina,ARG,32618648,36870796,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763
"Population, total",SP.POP.TOTL,Armenia,ARM,3538164,3069597,2876536,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234
"Population, total",SP.POP.TOTL,Aruba,ABW,62152,90866,102050,102565,103165,103776,104339,104865,105361,105846,106310,106766
"Population, total",SP.POP.TOTL,Australia,AUS,17065100,19153000,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25365745,25687041
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8917205
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7175200,8048600,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121
